eturb_m1_steam_flow_in,eturb_m1_steam_flow_side,eturb_m1_electricity_generation,eturb_m2_steam_flow_in,eturb_m2_steam_flow_side,eturb_m2_electricity_generation
-1.154166667,-1.03,-0.0425,0.079166667,-0.135833333,0.035
-0.188333333,-0.028333333,0.005,0.078333333,-0.079166667,0.01
-0.529166667,-0.438333333,-0.0225,-0.180833333,-0.383333333,-0.025833333
0.629166667,0.408333333,0.040833333,0.204166667,0.12,0.0625
-0.29,-0.205,-0.016666667,-0.0875,-0.154166667,-0.014166667
-0.483333333,-0.153333333,-0.029166667,-0.239166667,0.515833333,-0.065833333
0.84,0.599166667,0.056666667,0.3275,-0.0275,0.069166667
-0.4425,-0.053333333,-0.040833333,-0.326666667,0.175833333,-0.075
0.365833333,0.691666667,-0.009166667,0.115,0.665833333,-0.031666667
1.4475,1.091666667,0.055,0.2175,0.3825,0.045
-0.844166667,-0.478333333,-0.07,-0.15,0.390833333,-0.058333333
-0.555833333,-0.021666667,-0.0925,-0.458333333,-0.050833333,-0.133333333
1.478333333,0.9575,0.090833333,-2.84E-14,-0.658333333,0.0325
-1.2325,-0.965,-0.084166667,-0.101666667,0.24,-0.035
0.685833333,0.451666667,0.0325,-0.4125,-0.539166667,-0.04
-0.871666667,-0.758333333,-0.0675,-0.055,0.125,-0.018333333
0.125,0.005,0.000833333,-0.004166667,0.2225,-0.020833333
-0.546666667,-0.143333333,-0.056666667,-0.0225,0.0325,-0.015
1.315,0.745,0.089166667,-0.105833333,0.0375,-0.0075
-0.525,-0.271666667,-0.041666667,0.035,-0.069166667,-0.005
-0.559166667,-0.440833333,-0.031666667,-0.0575,-0.2875,-0.0025
0.423333333,0.518333333,0.01,0.064166667,0.305833333,-0.009166667
0.821666667,0.315,0.054166667,-0.11,-0.1425,-0.015
